Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.socialsoftware.edition.ldod.frontend.config.Application$1.logger,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.reactUi.ReactUiController.getMultipleVirtualInfo(java.lang.String): org.springframework.http.ResponseEntity,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$6.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.text.domain.PhysNote_Base.removeTextPortion(pt.ist.socialsoftware.edition.text.domain.TextPortion): void,['pt.ist.socialsoftware.edition.text.domain.TextPortion'],[16],16
pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base$AltTextHasAltTextWeight.relation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.LdoDPermissionEvaluator.PARTICIPANT,[],[],0
pt.ist.socialsoftware.edition.text.domain.PbText_Base.role$$scholarInter,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.role$$virtualEdition,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.get$location(): java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.validator.VirtualEditionValidator.VirtualEditionValidator(pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto, java.lang.String, java.lang.String)","['pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto', 'java.lang.String', 'java.lang.String']","[16, 24, 24]",64
pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base.getSource() : pt.ist.socialsoftware.edition.text.domain.Source,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.getRelationPhysNoteRefersTextPortion() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.getRelationRefText2ScholarInter() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.fenixframework.adt.bplustree.InnerNodeArray_Base.InnerNodeArray_Base(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Member_Base.setDate(org.joda.time.LocalDate): void,['org.joda.time.LocalDate'],[32],32
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getRelationVirtualEditionHasTaxonomies(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.PbText_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.UiInterface.getFragInterUsed(pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionInterDto): java.util.List,['pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionInterDto'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.lambda$reorderVirtualEdition$0(java.lang.String): java.lang.String,['java.lang.String'],[24],24
